name,gid,state,county,lsad,area,calc_area,boundbox_area,rect_area_fraction,boundcircle_area,boundcircle_ratio,perimeter,perimcircle_area,perimcircle_area_ratio,areacircle_perim,areacircle_perim_ratio,convexhull_area,convexhull_ratio
Marengo,38,01,091,County,976.882,2545087144.01997,3717791506.95814,0.684569626687414,4616545677.918,0.551296861675972,267032.204458557,5637976399.76709,0.451418552253094,178549.399527245,1.4955648418062,3009581048.86717,0.8456616062817
Marshall,39,01,095,County,565.842,1614108329.14189,2642477684.91005,0.610831394474702,2800462992.80443,0.576371954669357,223628.510254538,3954124257.92866,0.408208802721699,142191.424359373,1.57272853311703,2020875694.58391,0.798717275618589
Mobile,40,01,097,County,1229.435,3294005090.56043,5337955022.1859,0.617091203816763,9387964227.10629,0.350875334723742,346705.587849215,9504245677.78916,0.346582485578874,203127.722124425,1.70683540495197,4112137617.35667,0.801044468126983
Monroe,41,01,099,County,1025.675,2679502247.8955,5692485489.19074,0.470708665482506,8017502918.61302,0.334206582161001,283958.111514052,6375357308.3056,0.420290521506103,183203.652648883,1.54995878853065,3251649481.66427,0.824044000746377
Pickens,42,01,107,County,881.408,2305012546.54132,2844333080.3854,0.810387701228366,4468907196.38302,0.515788859613581,221572.71612173,3881758694.84112,0.593806242929191,169919.692003095,1.30398492081597,2366648742.18804,0.973956339803205
Pike,43,01,109,County,672.094,1743093232.35091,2668715301.61417,0.653158181128052,2712786622.49895,0.64254712032796,215260.038314004,3663724409.58599,0.47577083794572,147763.569496135,1.45678694043483,2065753933.89932,0.843804871309453
Russell,44,01,113,County,641.14,1679253721.80641,2707085500.4029,0.620317947680811,2610859975.82493,0.643180307391179,200401.699322234,3175402418.38411,0.528831782732262,145032.463910553,1.38177132152861,1980542907.38918,0.847875456543406
St. Clair,45,01,115,County,631.902,1692992094.36709,3352778133.23777,0.504952021007179,3719098532.22567,0.455215714156927,244833.141543921,4739542062.74678,0.357205838022656,145624.527898076,1.68126307482543,2130453557.6567,0.794662755394313
Shelby,46,01,117,County,784.93,2096622097.49529,3670827019.36461,0.571157966974484,3983441485.12196,0.526334353178305,252093.593963747,5024809380.31154,0.417254056583795,162056.757364406,1.55558828933545,2470595660.01504,0.848630203407112
Sumter,47,01,119,County,903.887,2364727692.21151,4076129921.25714,0.580140412080436,5738400774.40031,0.412088277758647,311283.016863848,7661376853.35115,0.308655707384653,172106.643141047,1.80866357731899,3088059149.15517,0.765765025212827
Talladega,48,01,121,County,736.775,1969114318.82032,4201145052.26833,0.468708957753585,5538462642.72624,0.355534458900141,273016.420463164,5893502988.64632,0.334116114408318,157051.659761715,1.73838608822979,2541806863.30404,0.774690771060672
Washington,49,01,129,County,1080.207,2819737180.89243,3871281356.17373,0.728373094452474,4736008430.7479,0.59538263542473,268688.272998877,5708123952.76683,0.49398667657272,187936.606559496,1.42967502668947,3040074303.38898,0.92752245487851
Wilcox,50,01,131,County,888.498,2350010181.47838,3853683013.19544,0.60980889539479,4868237825.68971,0.482722961700303,264052.562533056,5512857218.81459,0.426278078354384,171570.231515525,1.53903483256163,2845129262.3407,0.825976595363902
Butler,51,01,013,County,776.829,2014453216.95236,2434337256.64556,0.827516077097805,3061084144.34693,0.658084888216014,186057.259007558,2737090824.69219,0.735983329007326,158849.429100381,1.17128062758088,2070599440.55243,0.972884072843618
Calhoun,52,01,015,County,605.868,1585850650.14706,2535262208.44685,0.625517409940247,3270471267.08799,0.484899734819897,218198.202905129,3764422064.48618,0.421273338371934,140941.278799677,1.54814973131654,1865330980.43145,0.850171185051704
Chambers,53,01,017,County,596.531,1559929516.64886,2148972100.54696,0.725895657859785,2702470162.57699,0.577223585388767,170595.677290687,2301081582.20968,0.677911434652781,139784.672489724,1.22041761984475,1626588201.13949,0.959019323732988
Cherokee,54,01,019,County,553.7,1553696279.64419,2857854271.06881,0.54365832973811,3493579720.0071,0.444729018418116,195394.888659959,3018716781.97178,0.514687660970084,139505.113979779,1.4006288592996,1743739582.42085,0.891013942280981
Chilton,55,01,021,County,692.854,1814836840.46006,2978108122.39993,0.609392529038725,3374608834.99869,0.537791764674487,208167.740256519,3426279810.06538,0.529681444909612,150773.792389415,1.38066262682356,2180026686.72175,0.83248377256755
Tallapoosa,56,01,123,County,716.521,1984790228.87549,3040593297.45202,0.652764126836274,4335146201.79554,0.457836976306226,222898.42101858,3928348017.46888,0.505248063575166,157675.556325145,1.41365235178836,2250181556.09645,0.882057815956259
Tuscaloosa,57,01,125,County,1321.755,3499773075.61529,5113106829.05848,0.684470947433683,5370613759.54804,0.651652349676662,291096.583614196,6699928815.07125,0.522359740262117,209376.052842997,1.39030504998811,3932887036.54661,0.889873785616881
Walker,58,01,127,County,791.192,2085341948.0832,3601016326.9662,0.579098165278264,3793943956.37273,0.549650171974846,238415.106893804,4494315044.47693,0.463995498189624,161620.224276671,1.47515639184902,2419443465.2557,0.861909764799074
Winston,59,01,133,County,612.979,1636681237.22056,1902975396.97343,0.860064318132333,2769018340.87045,0.59106912116229,166719.648759885,2197705751.93798,0.744722643500979,143182.22840124,1.1643878616883,1668752880.30449,0.980781071024681
Montgomery,60,01,101,County,784.247,2071632558.93662,3276137464.80096,0.632339937256718,3413629874.55059,0.606870877941726,257385.666064239,5237990251.84312,0.39550141549188,161088.088961772,1.59779452176207,2463598076.09049,0.840897132954461
Houston,61,01,069,County,579.824,1506238054.91475,2698861510.61687,0.558101276775211,3955602922.72215,0.380785959647889,208599.918071733,3440521202.40271,0.437793568562477,137357.972992477,1.5186589720799,1897311903.5821,0.79388004263874
Lee,62,01,081,County,607.536,1595530953.68129,2716755727.82821,0.58729275412507,3656769337.30601,0.436322558659589,197851.076501518,3095086612.00422,0.515504460357607,141370.789178405,1.39951879487521,1870785264.62474,0.85286696653629
Limestone,63,01,083,County,559.936,1572781264.51486,2291145449.81766,0.686460680460085,3120325042.48795,0.50404404768704,170449.956683586,2297152153.28611,0.684665690196,140359.31139627,1.2143829646069,1684637200.88742,0.933602358826198
Marion,64,01,093,County,742.292,1925756563.28279,2442763063.0603,0.788351761333003,3519578391.88812,0.547155468314401,189729.101713518,2846189895.91271,0.676608600869636,155312.982177651,1.22159203341097,2097720541.94595,0.918023409112619
Morgan,65,01,103,County,579.337,1551485110.85217,2148479983.29007,0.722131517593341,3212780984.9178,0.482910325395825,180752.370728015,2583235354.36465,0.600597660693508,139405.809119686,1.29659138216278,1797167178.05194,0.86329481742145
Perry,66,01,105,County,719.664,1875175301.63561,3003509184.49455,0.624328139669455,4488918125.4049,0.417734351407104,219080.53485148,3794928139.66024,0.494126695585728,153259.711063742,1.42947245124561,2298873042.62293,0.815693283999757
Randolph,67,01,111,County,580.55,1512533562.50504,1998435108.17008,0.756858982471555,2610850905.67656,0.579325904522722,161386.322914201,2059346493.85924,0.734472594590205,137644.725963624,1.17248461053896,1533305554.39876,0.986452803334517
Aleutians East,68,02,013,Borough,6981.943,18772590432.9041,138503531911.391,0.135538712795527,261046216438.593,0.0719128999033781,3152135.39720038,785607642045.124,0.0238956311372361,484918.963197808,6.5003343577524,60864343395.4001,0.308433302417305
Aleutians West,69,02,016,CA,4390.276,12102822974.9632,1164844586969.7,0.0103900753030481,1723662929829.23,0.00702157177341063,3313625.24673627,868165957867.242,0.0139406790433194,389359.168589445,8.51045901587663,509506481739.442,0.0237540117912621
Anchorage,70,02,020,Muny,1704.683,4523922893.3956,9299447091.20216,0.486472243890232,10733720410.7271,0.421468299926506,330374.189909773,8629948300.32915,0.524212050403948,238048.0687336,1.38784654573063,5614445618.72193,0.805764843159248
Bethel,71,02,050,CA,40570.004,109611986190.723,788086447529.455,0.139086246863325,1172823115237.99,0.0934599470001746,3087475.67224528,753707887284.957,0.1454303292295,1171753.04026678,2.63492012919578,250548752927.37,0.437487654239082
Bristol Bay,72,02,060,Borough,503.843,1393747795.27124,6712885727.54821,0.207622750012205,9403267708.7855,0.148219516707906,252560.200877105,5043427708.61029,0.276349315544227,132129.308485631,1.91146236797698,2263302132.18365,0.615802802220904
Denali,73,02,068,Borough,12751.411,33084965715.5532,74101400509.2645,0.446482326760028,112504321195.267,0.294077288445921,983094.017179779,76416312668.1804,0.432956845997225,643757.660200715,1.52711816566698,38900240542.0686,0.85050799826735
Dillingham,74,02,070,CA,18568.778,49922776790.4098,92050243378.5152,0.542342691970132,125923154688.331,0.396454305119437,1520398.63500774,182772525807.59,0.273141581700112,790781.375303763,1.92265357087313,60717575917.0817,0.822212943062587
Fairbanks North Star,75,02,090,Borough,7338.209,19283957684.2242,45485346595.198,0.423959783264794,59492061044.5528,0.324143378891894,823857.338074805,53666095620.0281,0.359332227571768,491479.208590538,1.67628116037189,22796370774.4986,0.845922268723422
Hoonah-Angoon,76,02,105,CA,7524.915,20465953758.6578,75613437259.9469,0.270665565543584,117206639719.239,0.174614286423386,2548244.23685594,513426254430.34,0.0398615255493028,506317.641463514,5.03289640370861,43930463268.6487,0.465871566923892
Juneau,77,02,110,Cty&Bor,2701.931,7367539340.38952,14236276341.4676,0.517518708099901,18797576355.3101,0.391940918399742,682988.081374134,36882658846.8976,0.199756188158036,303786.378870121,2.24825116884564,9606284083.48915,0.766949975282588
Kenai Peninsula,78,02,122,Borough,16075.331,43008630426.1419,121727846421.087,0.353317927578906,143399991852.359,0.299920731309542,2679729.50830881,567777121482.293,0.0757491431036521,733981.091374596,3.65095169316994,72966108388.3144,0.589432976160063
Ketchikan Gateway,79,02,130,Borough,4858.414,13405530616.9403,24481722297.0933,0.547573020160102,25500968180.4532,0.525687123801667,1519216.25351451,182488359778.796,0.0734596476903505,409778.406995989,3.70740924259922,17781397538.5851,0.753907592912797
Lake and Peninsula,80,02,164,Borough,23652.009,68251004317.2137,203843445326.717,0.334820696382079,349380819599.994,0.195348457867133,2628283.00455984,546185573714.916,0.124959368393786,924616.392103738,2.84256587597352,105804580249.808,0.64506663280617
Matanuska-Susitna,81,02,170,Borough,24607.898,64747937285.5777,128665706503.222,0.503226065788991,148288414261.666,0.436635172126969,1193246.33532563,112578689800.794,0.575134933619749,900575.305449786,1.32498229532251,71014331278.9634,0.91175874108045
Nome,82,02,180,CA,22961.761,61600133210.8937,330882601513.919,0.186169151623714,427504499078.252,0.144092362404865,2623921.17603078,544374207924.898,0.113157699821429,878411.253617816,2.98712153928348,179675222420.943,0.342841558123005
North Slope,83,02,185,Borough,88695.413,232727527592.053,933533875766.471,0.249297356671684,1493897133112.62,0.155785510550617,3408562.07094052,918625264837.219,0.253343269013282,1707382.96188105,1.99636645500155,273772095339.664,0.850077606716318
Northwest Arctic,84,02,188,Borough,35572.584,95575256810.8419,241433424972.998,0.395865886513151,301588988299.817,0.316905658093287,2587014.72700122,529168243711.576,0.180614120266324,1094157.40067663,2.36438991812458,124096654503.646,0.7701678759441
Sitka,85,02,220,Cty&Bor,2870.339,8194934258.46671,17931254281.7743,0.457019577643055,33695287373.2232,0.243207133617712,967942.118452297,74078937942.849,0.110624348648046,320390.626980825,3.02113119716897,11478205150.8519,0.713956071595262
Southeast Fairbanks,86,02,240,CA,24768.808,64894704289.7819,149065254380.267,0.435344269592395,158712493337.125,0.408882142327243,1556359.60385107,191520766583.094,0.338838996144194,901595.414571196,1.72622839324364,83900897998.0939,0.773468530590176
Wade Hampton,87,02,270,CA,17081.433,46876780149.2595,88941062821.319,0.527054418535948,102473608964.983,0.457452222310997,1354273.82403647,145013668787.574,0.323257666268192,766277.28545,1.76734173092599,56743921818.8014,0.826111037917852
Wrangell,88,02,275,Cty&Bor,2541.483,6942682798.52989,15732942559.2011,0.44128317207067,14715606884.0663,0.471790450317563,1069063.10684034,90365500075.7991,0.0768289091822247,294897.252998159,3.62520537567373,10610326521.5607,0.654332624393983
Yukon-Koyukuk,89,02,290,CA,145504.789,382812617416.182,759362374975.267,0.504123762292872,1276957855683.24,0.299784848585592,4124207.43822458,1344859681872.3,0.284648742598362,2189778.49878828,1.88339023353582,482414952454.845,0.793533897463541
Petersburg,90,02,195,CA,3281.982,9033414247.34776,22048122111.5011,0.409713543931961,32575510834.283,0.277306909883999,1324442.40119573,138695421090.367,0.0651313084190574,336382.216942563,3.93731396752724,15599059727.5319,0.579099920452514
Prince of Wales-Hyder,91,02,198,CA,3922.873,11085104017.7292,53986176768.0629,0.205332266171643,58688392581.5978,0.18888068884008,1989406.09659219,312926873142.427,0.0354239439598526,372629.258002959,5.33883492470253,32856288554.8028,0.337381503064163
Skagway,92,02,230,Muny,452.325,1182744422.53062,1748618125.14644,0.67638806067595,2651604999.38167,0.446048496215094,168544.137310962,2246069924.16875,0.526583972210189,121717.358769629,1.38471734035867,1241248890.93343,0.952866448598544
Valdez-Cordova,93,02,261,CA,34239.88,91383645637.3785,199884830983.119,0.457181493902838,201573093581.631,0.453352399438029,3844597.24836339,1168685546631.71,0.0781935276779602,1069895.36289739,3.59343294838836,127661929316.136,0.715825353156622
Yakutat,94,02,282,Cty&Bor,7649.457,20689376121.8531,95169469031.2807,0.217395098790063,134141327505.269,0.154235659558688,1205570.27647208,114916141442.958,0.180038903691549,509073.819483917,2.36816396823205,35780388684.5624,0.578232290997433
Haines,95,02,100,Borough,2318.6,6192350719.8564,18362848131.6426,0.337221692161459,21302875313.0843,0.290681451627943,782229.97277816,48379890067.2954,0.12799431150511,278506.181102958,2.80866288022881,11723004354.7709,0.528222163232098
Kodiak Island,96,02,150,Borough,6549.579,18201176328.1544,82926954407.4624,0.219484442160058,145110561145.213,0.125429715001519,2913902.66011024,671345452322.936,0.0271114912079559,477481.768646886,6.10264695208745,64246390176.4297,0.283302708185961
Apache,97,04,001,County,11197.521,29056686053.9,51018823978.7619,0.569528730532787,125764188005.308,0.231041018232262,992252.757227966,77846770473.203,0.373254868214502,603295.52774444,1.6447208898394,31530011601.9998,0.921556465651825
Cochise,98,04,003,County,6165.69,16106126297.073,20847319788.2754,0.772575393894574,25557618442.8825,0.630188854766255,510534.256239934,20608469868.0267,0.78152945852914,449161.595157837,1.13663826503361,16180404903.6837,0.995409348094016
Coconino,99,04,005,County,18618.885,48333782609.3862,83705670789.2683,0.577425425943578,93979419349.858,0.514301779514657,1242490.14888456,122062392941.849,0.395976036881504,778094.700813219,1.59683666729253,54090873620.821,0.89356631486871
Gila,100,04,007,County,4757.933,12420606691.9006,27201505966.7591,0.456614670786202,27657597725.9096,0.449084798144454,824911.446948963,53803512852.4719,0.230851222037447,394437.747684867,2.09136030157038,15614220028.436,0.795467635865302
Graham,101,04,009,County,4622.597,12018679219.1439,17396949705.8111,0.690849799670876,22343362755.0854,0.537908252705087,554587.723460135,24318482715.0451,0.494219946202004,388003.316090006,1.42933758672177,13648641079.4847,0.880576985587906
Greenlee,102,04,011,County,1843.126,4787203757.86285,7956247072.11822,0.601691188630764,18474549280.5725,0.25912425170215,367436.754851689,10674834857.9068,0.448456938358816,244877.014484199,1.50049507760312,5083425799.50029,0.941727871455002
La Paz,103,04,012,County,4499.629,11689443066.0184,20625826418.851,0.566738167413977,27964516476.3343,0.418009840288528,578275.634918671,26440262330.3423,0.442107681080146,382651.989251135,1.51123122618643,14743529246.3892,0.792852435171263
Maricopa,104,04,013,County,9200.143,23889777116.3593,41617131135.1251,0.574037096377271,47933945390.7272,0.498389542559557,812365.276978278,52179351297.5852,0.457839672634353,547032.481320406,1.48504029416575,29101265407.2161,0.820918842602475
Mohave,105,04,015,County,13311.084,34887536828.3363,71426637686.2965,0.488438738801639,88113488885.323,0.395938661261517,1059620.10417159,88776158959.2428,0.392983175182802,661062.03976936,1.60290568876302,45138721604.0546,0.772895987936054
Navajo,106,04,017,County,9950.422,25795973155.337,45921814044.6904,0.561736806177403,120787463167.875,0.213564988276016,938287.017395408,69609319163.1214,0.370582178729361,568437.896302453,1.65064121076151,28792197538.3656,0.895936238314698
Pima,107,04,019,County,9187.036,23798248838.7043,41303735688.5786,0.576176668816063,63368056019.6627,0.37555592412871,729273.092054773,42051002216.9737,0.565937732373433,545983.560067672,1.33570522153521,25068657252.377,0.949322837642125
Pinal,108,04,021,County,5365.612,13920220475.3774,21069885926.6506,0.660669000479504,27103764588.2793,0.513589926965239,598031.747184823,28277723962.7237,0.492268065623928,417570.800691351,1.43216849979618,16160628375.6515,0.861366287981127
Santa Cruz,109,04,023,County,1236.916,3206505609.56791,4860777877.54483,0.659669232034013,6859882785.85868,0.467428629564629,253365.016905741,5075622003.36994,0.631746337185663,200411.697880426,1.26422269550807,3448420494.62796,0.929847625764635
Yavapai,110,04,025,County,8123.499,21051817538.5951,34789582440.0113,0.605118430923837,44860688935.0161,0.469270937169293,735871.472681663,42815390135.0943,0.491688093280731,513513.498250521,1.43301291044673,23904682754.0161,0.880656637664782
Yuma,111,04,027,County,5513.992,14294412560.1509,26489170981.6673,0.539632311258204,26012169235.4927,0.54952789330029,558925.921637919,24700427779.5053,0.578711133578481,423145.982189833,1.32088202455665,15697933695.0093,0.910591982223454
Fulton,112,05,049,County,618.194,1606634797.62154,1828299671.30686,0.878759003699389,3671831583.32655,0.437556778180438,179536.724185458,2548605201.54774,0.630397676598106,141861.860040131,1.26557429977775,1663996088.13784,0.965527989563672
Garland,113,05,051,County,677.781,1902804183.10266,2416534220.17994,0.787410402556177,3242760182.64727,0.586785354428917,198781.429210605,3124263025.25913,0.609040969892361,154384.648776726,1.28757250662977,2097380405.9681,0.907228930759642
Grant,114,05,053,County,631.809,1639212899.24682,2069235183.4656,0.792182982555628,2700788391.77938,0.606938664367868,188887.4314912,2820993553.10473,0.581076442887555,143292.924648512,1.31819091524951,1795028954.5621,0.913195798363436
Greene,115,05,055,County,577.699,1501305740.00111,2055951512.87904,0.730224293032462,3274695737.98418,0.458456559058913,189316.115255896,2833812684.6706,0.529782983936225,137132.892928098,1.38053031051536,1656705925.81887,0.906199293793828
Hot Spring,116,05,059,County,615.202,1611006934.04259,2694398871.40018,0.597909593543368,4131221406.54818,0.389958991665048,218843.946974539,3786736182.29536,0.425434161897717,142054.753289625,1.54056053674145,2068356241.00174,0.778882719575594
Izard,117,05,065,County,580.577,1512560435.15273,2112453364.52922,0.716020746564419,2311995297.93697,0.654222972037361,187335.480086884,2774827863.226,0.545100636763189,137645.948700722,1.36099523346089,1726089797.54635,0.876293016332546
Johnson,118,05,071,County,659.804,1768372359.76,2347345428.18798,0.753349864286947,3130986640.7196,0.564797159068548,208216.660991314,3427890394.11784,0.515877742997407,148831.179786643,1.39901236615744,2060544131.43835,0.85820649641976
Lawrence,119,05,075,County,587.614,1533726814.60612,2248391284.57052,0.682144084586723,3055205672.96375,0.502004440545015,205873.297035458,3351166539.13577,0.457669529906937,138605.693659555,1.48531630699909,1816615878.72414,0.84427689561059
Lee,120,05,077,County,602.621,1602307725.07624,2024068469.94067,0.791627234390548,3415675574.09894,0.469104190464264,244522.198640028,4727511084.16514,0.338932621531696,141670.696364008,1.72598995357342,1811485026.73172,0.884527170487919
Arkansas,121,05,001,County,988.77,2677393986.661,4172437330.00023,0.641685848079797,5189895946.00699,0.515885870259295,310165.216394311,7606452466.55904,0.351989839998591,183131.565162526,1.69367425063531,3157246771.38856,0.848015432599042
Ashley,122,05,003,County,925.349,2436014071.35254,2870637607.69988,0.84859686392265,4112680506.88981,0.592317848972605,235058.227445145,4368646309.9871,0.557613022089612,174681.519748785,1.34563878184246,2552104964.58995,0.954511709021315
